Name,Package,Tags,Score,Developers,Version,MD5,Download_URL
QQ,com.tencent.mobileqq,好友社交,4.5,深圳市腾讯计算机系统有限公司,9.1.25,B46EF5B29B2A4CDD8835A040CCCC3222,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/B46EF5B29B2A4CDD8835A040CCCC3222.apk?fsname=com.tencent.mobileqq_9.1.25.apk
微信,com.tencent.mm,好友社交,3.5,深圳市腾讯计算机系统有限公司,8.0.54,9EDBD0A462FE61708C0712AA4B3AA21E,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/9EDBD0A462FE61708C0712AA4B3AA21E.apk?fsname=com.tencent.mm_8.0.54.apk
WiFi万能钥匙,com.snda.wifilocating,免费WIFI,2.7,南京尚网网络科技有限公司,5.1.02,99897F8204FD80229D0819B00B5DA307,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/99897F8204FD80229D0819B00B5DA307.apk?fsname=com.snda.wifilocating_5.1.02.apk
腾讯视频,com.tencent.qqlive,综合视频,3.4,深圳市腾讯计算机系统有限公司,9.00.30.29437,9EF366CF101FEDE222A6B2B4784A44E1,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/9EF366CF101FEDE222A6B2B4784A44E1.apk?fsname=com.tencent.qqlive_9.00.30.29437.apk
淘宝,com.taobao.taobao,综合商城,4.5,浙江淘宝网络有限公司,10.43.4,2AC7ECD5A5FA0227EB3446BD16DDDE6A,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/2AC7ECD5A5FA0227EB3446BD16DDDE6A.apk?fsname=com.taobao.taobao_10.43.4.apk
腾讯手机管家,com.tencent.qqpimsecure,垃圾清理,4.2,深圳市腾讯计算机系统有限公司,16.1.19,4B151DDE261DC872F1F23CA56F49B518,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/4B151DDE261DC872F1F23CA56F49B518.apk?fsname=com.tencent.qqpimsecure_16.1.19.apk
百度,com.baidu.searchbox,手机浏览器,4.6,北京百度网讯科技有限公司,13.78.0.10,C71256AA036FBF5B4D39536407C2EFBC,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/C71256AA036FBF5B4D39536407C2EFBC.apk?fsname=com.baidu.searchbox_13.78.0.10.apk
腾讯新闻,com.tencent.news,综合新闻,4.3,深圳市腾讯计算机系统有限公司,7.5.70,D82A12174F2F436BD0DD5F05C52A6456,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/D82A12174F2F436BD0DD5F05C52A6456.apk?fsname=com.tencent.news_7.5.70.apk
QQ浏览器,com.tencent.mtt,手机浏览器,4.3,腾讯科技（深圳）有限公司,15.8.2.2034,8B232E4A491013D9AADBA715D7C261B9,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/8B232E4A491013D9AADBA715D7C261B9.apk?fsname=com.tencent.mtt_15.8.2.2034.apk
酷狗音乐,com.kugou.android,在线音乐,4.3,广州酷狗计算机科技有限公司,20.0.0,5970C3001475FE7D6A8E990ACDB90A88,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/5970C3001475FE7D6A8E990ACDB90A88.apk?fsname=com.kugou.android_20.0.0.apk
拼多多,com.xunmeng.pinduoduo,团购特卖,3.9,上海寻梦信息技术有限公司,7.39.0,32462639B9E7B79ED6E26A1746E97655,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/32462639B9E7B79ED6E26A1746E97655.apk?fsname=com.xunmeng.pinduoduo_7.39.0.apk
高德地图,com.autonavi.minimap,地图导航,4.0,高德软件有限公司,15.07.1.2037,CA14EF44964C66CE99765A92ED2C6A22,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/CA14EF44964C66CE99765A92ED2C6A22.apk?fsname=com.autonavi.minimap_15.07.1.2037.apk
微博,com.sina.weibo,综合社区/论坛,4.4,北京微梦创科网络技术有限公司,14.12.1,401062EAD0E6B10E9C6CA803D1A65FA3,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/401062EAD0E6B10E9C6CA803D1A65FA3.apk?fsname=com.sina.weibo_14.12.1.apk
QQ音乐,com.tencent.qqmusic,在线音乐,3.9,深圳市腾讯计算机系统有限公司,13.12.0.8,27A7D92083F649C17ED37FAE8D818DAE,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/27A7D92083F649C17ED37FAE8D818DAE.apk?fsname=com.tencent.qqmusic_13.12.0.8.apk
爱奇艺,com.qiyi.video,综合视频,3.8,北京爱奇艺科技有限公司,15.12.0,63DEB6E27C82F3F28C6619C4FBC50E52,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/63DEB6E27C82F3F28C6619C4FBC50E52.apk?fsname=com.qiyi.video_15.12.0.apk
WPS Office,cn.wps.moffice_eng,文档表格,4.8,珠海金山办公软件有限公司,14.20.0,F8282DEF85DEA737AE3AB27C43435FF1,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/F8282DEF85DEA737AE3AB27C43435FF1.apk?fsname=cn.wps.moffice_eng_14.20.0.apk
快手,com.smile.gifmaker,短视频,4.7,北京快手科技有限公司,12.11.20.39742,584F498B905C45091B88F7ECAC22BE4A,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/584F498B905C45091B88F7ECAC22BE4A.apk?fsname=com.smile.gifmaker_12.11.20.39742.apk
今日头条,com.ss.android.article.news,综合新闻,4.7,北京抖音信息服务有限公司,10.1.0,EE45964088695C44893CCBFDF577332D,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/EE45964088695C44893CCBFDF577332D.apk?fsname=com.ss.android.article.news_10.1.0.apk
优酷视频,com.youku.phone,综合视频,4.1,优酷信息技术（北京）有限公司,11.1.16,537961C48CB652FAD3D6F097CEA289BB,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/537961C48CB652FAD3D6F097CEA289BB.apk?fsname=com.youku.phone_11.1.16.apk
